Date,Quantity,Amount,RunningTotalSalesQuantity,RunningTotalSalesAmount
2023-02-24,15,225.0,928,101125.0
2023-02-24,30,300.0,958,101425.0
2023-02-25,5,350.0,963,101775.0
2023-02-25,25,500.0,988,102275.0
2023-03-01,15,18000.0,1003,120275.0
2023-03-01,25,20000.0,1028,140275.0
2023-03-02,10,1000.0,1038,141275.0
2023-03-02,30,2400.0,1068,143675.0
2023-03-03,20,3000.0,1088,146675.0
2023-03-03,15,600.0,1103,147275.0
2023-03-04,40,2000.0,1143,149275.0
2023-03-04,35,2100.0,1178,151375.0
2023-03-05,12,840.0,1190,152215.0
2023-03-05,8,8000.0,1198,160215.0
2023-03-06,18,540.0,1216,160755.0
2023-03-06,5,1000.0,1221,161755.0
2023-03-07,10,800.0,1231,162555.0
2023-03-07,22,1980.0,1253,164535.0
2023-03-08,15,900.0,1268,165435.0
2023-03-08,50,1000.0,1318,166435.0
2023-03-09,7,840.0,1325,167275.0
2023-03-09,3,1500.0,1328,168775.0
2023-03-10,8,1200.0,1336,169975.0
2023-03-10,25,1750.0,1361,171725.0
2023-03-11,12,960.0,1373,172685.0
2023-03-11,18,5400.0,1391,178085.0
2023-03-12,40,400.0,1431,178485.0
2023-03-12,15,750.0,1446,179235.0
2023-03-13,2,1600.0,1448,180835.0
2023-03-13,10,4000.0,1458,184835.0
2023-03-14,7,840.0,1465,185675.0
2023-03-14,5,400.0,1470,186075.0
2023-03-15,12,1200.0,1482,187275.0
2023-03-15,20,400.0,1502,187675.0
2023-03-16,4,800.0,1506,188475.0
2023-03-16,8,1200.0,1514,189675.0
2023-03-17,10,1000.0,1524,190675.0
2023-03-17,15,450.0,1539,191125.0
2023-03-18,5,2000.0,1544,193125.0
2023-03-18,6,1500.0,1550,194625.0
2023-03-19,20,800.0,1570,195425.0
2023-03-19,30,750.0,1600,196175.0
2023-03-20,3,900.0,1603,197075.0
2023-03-20,50,500.0,1653,197575.0
2023-03-21,4,1200.0,1657,198775.0
2023-03-21,40,1000.0,1697,199775.0
2023-03-22,15,1050.0,1712,200825.0
2023-03-22,2,1200.0,1714,202025.0
2023-03-23,10,250.0,1724,202275.0
2023-03-23,8,320.0,1732,202595.0
2023-03-24,25,375.0,1757,202970.0
2023-03-24,20,600.0,1777,203570.0
2023-03-25,10,500.0,1787,204070.0
2023-03-25,30,450.0,1817,204520.0
2023-03-26,5,400.0,1822,204920.0
2023-03-26,15,300.0,1837,205220.0
2023-03-27,8,320.0,1845,205540.0
2023-03-27,12,540.0,1857,206080.0
2023-04-01,3,2400.0,1860,208480.0
2023-04-02,2,100.0,1862,208580.0
2023-04-03,1,300.0,1863,208880.0
2023-04-04,5,400.0,1868,209280.0
2023-04-05,10,150.0,1878,209430.0
2023-04-06,2,2000.0,1880,211430.0
2023-04-07,3,120.0,1883,211550.0
2023-04-08,15,300.0,1898,211850.0
2023-04-09,4,400.0,1902,212250.0
2023-04-10,2,240.0,1904,212490.0
2023-04-11,1,1200.0,1905,213690.0
2023-04-12,4,120.0,1909,213810.0
2023-04-13,6,540.0,1915,214350.0
2023-04-14,8,200.0,1923,214550.0
2023-04-15,2,1600.0,1925,216150.0
2023-04-16,1,600.0,1926,216750.0
2023-04-17,7,140.0,1933,216890.0
2023-04-18,3,360.0,1936,217250.0
2023-04-19,4,600.0,1940,217850.0
2023-04-20,2,1000.0,1942,218850.0
2023-04-21,1,200.0,1943,219050.0
2023-04-22,5,250.0,1948,219300.0
2023-04-23,1,150.0,1949,219450.0
2023-04-24,8,480.0,1957,219930.0
2023-04-25,6,180.0,1963,220110.0
2023-04-26,2,800.0,1965,220910.0
2023-04-27,10,150.0,1975,221060.0
2023-04-28,12,120.0,1987,221180.0
2023-04-29,5,100.0,1992,221280.0
2023-04-30,3,135.0,1995,221415.0
2023-05-01,3,2400.0,1998,223815.0
2023-05-02,2,100.0,2000,223915.0
2023-05-03,1,300.0,2001,224215.0
2023-05-04,5,400.0,2006,224615.0
2023-05-05,10,150.0,2016,224765.0
2023-05-06,2,2000.0,2018,226765.0
2023-05-07,3,120.0,2021,226885.0
2023-05-08,15,300.0,2036,227185.0
2023-05-09,4,400.0,2040,227585.0
2023-05-10,2,240.0,2042,227825.0
2023-05-11,1,1200.0,2043,229025.0
2023-05-12,4,120.0,2047,229145.0
2023-05-13,6,540.0,2053,229685.0
2023-05-14,8,200.0,2061,229885.0
2023-05-15,2,1600.0,2063,231485.0
2023-05-16,1,600.0,2064,232085.0
2023-05-17,7,140.0,2071,232225.0
2023-05-18,3,360.0,2074,232585.0
2023-05-19,4,600.0,2078,233185.0
2023-05-20,2,1000.0,2080,234185.0
2023-05-21,1,200.0,2081,234385.0
2023-05-22,5,250.0,2086,234635.0
2023-05-23,1,150.0,2087,234785.0
2023-05-24,8,480.0,2095,235265.0
2023-05-25,6,180.0,2101,235445.0
2023-05-26,2,800.0,2103,236245.0
2023-05-27,10,150.0,2113,236395.0
2023-05-28,12,120.0,2125,236515.0
2023-05-29,5,100.0,2130,236615.0
2023-05-30,3,135.0,2133,236750.0
2023-05-31,4,100.0,2137,236850.0
2023-05-31,2,140.0,2139,236990.0
2023-06-01,20,24000.0,2159,260990.0
2023-06-01,30,24000.0,2189,284990.0
2023-06-02,15,2250.0,2204,287240.0
2023-06-03,25,1500.0,2229,288740.0
2023-06-04,40,3200.0,2269,291940.0
2023-06-05,10,1000.0,2279,292940.0
2023-06-06,12,2400.0,2291,295340.0
2023-06-07,20,800.0,2311,296140.0
2023-06-08,50,1000.0,2361,297140.0
2023-06-09,25,750.0,2386,297890.0
2023-06-10,15,4500.0,2401,302390.0
2023-06-11,8,4000.0,2409,306390.0
2023-06-12,30,750.0,2439,307140.0
2023-06-13,35,525.0,2474,307665.0
2023-06-14,10,1200.0,2484,308865.0
2023-06-15,15,1200.0,2499,310065.0
2023-06-16,20,1000.0,2519,311065.0
2023-06-17,18,2700.0,2537,313765.0
2023-06-18,12,3000.0,2549,316765.0
2023-06-19,8,560.0,2557,317325.0
2023-06-20,5,3500.0,2562,320825.0
2023-06-21,10,900.0,2572,321725.0
2023-06-22,45,450.0,2617,322175.0
2023-06-23,7,4200.0,2624,326375.0
2023-06-24,12,1440.0,2636,327815.0
2023-06-25,30,600.0,2666,328415.0
2023-06-26,15,750.0,2681,329165.0
2023-06-27,8,1440.0,2689,330605.0
2023-06-28,40,600.0,2729,331205.0
2023-06-29,10,1200.0,2739,332405.0
2023-06-30,5,1500.0,2744,333905.0
2023-07-01,5,6000.0,2749,339905.0
2023-07-01,3,300.0,2752,340205.0
2023-07-02,2,160.0,2754,340365.0
2023-07-02,8,6400.0,2762,346765.0
2023-07-03,4,240.0,2766,347005.0
2023-07-03,10,200.0,2776,347205.0
2023-07-04,2,300.0,2778,347505.0
2023-07-04,5,750.0,2783,348255.0
2023-07-05,6,240.0,2789,348495.0
2023-07-05,3,90.0,2792,348585.0
2023-07-06,7,420.0,2799,349005.0
2023-07-06,4,320.0,2803,349325.0
2023-07-07,5,250.0,2808,349575.0
2023-07-07,3,600.0,2811,350175.0
2023-07-08,1,300.0,2812,350475.0
2023-07-08,8,200.0,2820,350675.0
2023-07-09,2,100.0,2822,350775.0
2023-07-09,4,480.0,2826,351255.0
2023-07-10,3,2100.0,2829,353355.0
2023-07-10,5,350.0,2834,353705.0
2023-07-11,2,160.0,2836,353865.0
2023-07-11,1,120.0,2837,353985.0
2023-07-12,3,600.0,2840,354585.0
2023-07-12,6,240.0,2846,354825.0
2023-07-13,10,200.0,2856,355025.0
2023-07-13,1,800.0,2857,355825.0
2023-07-14,4,200.0,2861,356025.0
2023-07-14,2,200.0,2863,356225.0
2023-07-15,3,240.0,2866,356465.0
2023-07-15,1,200.0,2867,356665.0
2023-07-16,5,150.0,2872,356815.0
2023-07-16,2,100.0,2874,356915.0
2023-07-17,4,160.0,2878,357075.0
2023-07-17,2,1000.0,2880,358075.0
2023-07-18,7,175.0,2887,358250.0
2023-07-18,3,90.0,2890,358340.0
2023-07-19,1,400.0,2891,358740.0
2023-07-19,6,120.0,2897,358860.0
2023-07-20,8,120.0,2905,358980.0
2023-07-20,4,100.0,2909,359080.0
2023-07-21,2,200.0,2911,359280.0
2023-07-21,5,75.0,2916,359355.0
2023-07-22,3,150.0,2919,359505.0
2023-07-22,1,300.0,2920,359805.0
2023-07-23,10,100.0,2930,359905.0
2023-07-23,4,60.0,2934,359965.0
2023-07-24,2,80.0,2936,360045.0
2023-07-24,3,210.0,2939,360255.0
2023-07-25,12,120.0,2951,360375.0
2023-07-25,6,120.0,2957,360495.0
2023-08-01,10,12000.0,2967,372495.0
2023-08-01,5,500.0,2972,372995.0
2023-08-02,15,1200.0,2987,374195.0
2023-08-02,8,6400.0,2995,380595.0
2023-08-03,7,350.0,3002,380945.0
2023-08-03,12,480.0,3014,381425.0
2023-08-04,4,2400.0,3018,383825.0
2023-08-04,3,360.0,3021,384185.0
2023-08-05,20,600.0,3041,384785.0
2023-08-05,10,1000.0,3051,385785.0
2023-08-06,8,320.0,3059,386105.0
2023-08-06,25,500.0,3084,386605.0
2023-08-07,6,5400.0,3090,392005.0
2023-08-07,2,1600.0,3092,393605.0
2023-08-08,10,600.0,3102,394205.0
2023-08-08,15,6000.0,3117,400205.0
2023-08-09,5,350.0,3122,400555.0
2023-08-09,30,750.0,3152,401305.0
2023-08-10,12,600.0,3164,401905.0
2023-08-10,6,210.0,3170,402115.0
2023-08-11,18,900.0,3188,403015.0
2023-08-11,8,160.0,3196,403175.0
2023-08-12,3,1800.0,3199,404975.0
2023-08-12,22,330.0,3221,405305.0
2023-08-13,5,2000.0,3226,407305.0
2023-08-13,4,320.0,3230,407625.0
2023-08-14,15,450.0,3245,408075.0
2023-08-14,7,420.0,3252,408495.0
2023-08-15,10,400.0,3262,408895.0
2023-08-15,3,2400.0,3265,411295.0
2023-08-16,12,1800.0,3277,413095.0
2023-08-16,5,250.0,3282,413345.0
2023-08-17,8,400.0,3290,413745.0
2023-08-17,6,180.0,3296,413925.0
2023-08-18,15,375.0,3311,414300.0
2023-08-18,2,400.0,3313,414700.0
2023-08-19,4,4000.0,3317,418700.0
2023-08-19,3,450.0,3320,419150.0
2023-08-20,20,200.0,3340,419350.0
2023-08-20,5,400.0,3345,419750.0
2023-08-21,2,800.0,3347,420550.0
2023-08-21,12,480.0,3359,421030.0
2023-08-22,8,560.0,3367,421590.0
2023-08-22,7,420.0,3374,422010.0
2023-08-23,4,400.0,3378,422410.0
2023-08-23,10,400.0,3388,422810.0
2023-09-01,3,2400.0,3391,425210.0
2023-09-01,2,100.0,3393,425310.0
2023-09-02,1,300.0,3394,425610.0
2023-09-03,5,400.0,3399,426010.0
2023-09-04,10,150.0,3409,426160.0
2023-09-05,2,2000.0,3411,428160.0
2023-09-06,3,120.0,3414,428280.0
2023-09-07,15,300.0,3429,428580.0
2023-09-08,4,400.0,3433,428980.0
2023-09-09,2,240.0,3435,429220.0
2023-09-10,1,1200.0,3436,430420.0
2023-09-11,4,120.0,3440,430540.0
2023-09-12,6,540.0,3446,431080.0
2023-09-13,8,200.0,3454,431280.0
2023-09-14,2,1600.0,3456,432880.0
2023-09-15,1,600.0,3457,433480.0
2023-09-16,7,140.0,3464,433620.0
2023-09-17,3,360.0,3467,433980.0
2023-09-18,4,600.0,3471,434580.0
2023-09-19,2,1000.0,3473,435580.0
2023-09-20,1,200.0,3474,435780.0
2023-09-21,5,250.0,3479,436030.0
2023-09-22,1,150.0,3480,436180.0
2023-09-23,8,480.0,3488,436660.0
2023-09-24,6,180.0,3494,436840.0
2023-09-25,2,800.0,3496,437640.0
2023-09-26,10,150.0,3506,437790.0
2023-09-27,12,120.0,3518,437910.0
2023-09-28,5,100.0,3523,438010.0
2023-09-29,3,135.0,3526,438145.0
2023-09-30,4,100.0,3530,438245.0
2023-10-01,5,6000.0,3535,444245.0
2023-10-01,8,6400.0,3543,450645.0
2023-10-02,10,1500.0,3553,452145.0
2023-10-03,3,150.0,3556,452295.0
2023-10-04,7,560.0,3563,452855.0
2023-10-05,2,2000.0,3565,454855.0
2023-10-06,4,1000.0,3569,455855.0
2023-10-07,6,240.0,3575,456095.0
2023-10-08,15,300.0,3590,456395.0
2023-10-09,9,900.0,3599,457295.0
2023-10-10,5,400.0,3604,457695.0
2023-10-11,2,240.0,3606,457935.0
2023-10-12,6,540.0,3612,458475.0
2023-10-13,3,4500.0,3615,462975.0
2023-10-14,2,600.0,3617,463575.0
2023-10-15,4,120.0,3621,463695.0
2023-10-16,8,480.0,3629,464175.0
2023-10-17,6,1200.0,3635,465375.0
2023-10-18,3,540.0,3638,465915.0
2023-10-19,5,225.0,3643,466140.0
2023-10-20,10,400.0,3653,466540.0
2023-10-21,7,3500.0,3660,470040.0
2023-10-22,1,600.0,3661,470640.0
2023-10-23,3,210.0,3664,470850.0
2023-10-24,20,200.0,3684,471050.0
2023-10-25,4,1600.0,3688,472650.0
2023-10-26,2,1400.0,3690,474050.0
2023-10-27,3,450.0,3693,474500.0
2023-10-28,8,560.0,3701,475060.0
2023-10-29,1,800.0,3702,475860.0
2023-10-30,1,900.0,3703,476760.0
2023-10-31,5,175.0,3708,476935.0
2023-11-01,5,6000.0,3713,482935.0
2023-11-01,8,6400.0,3721,489335.0
2023-11-02,10,1500.0,3731,490835.0
2023-11-03,3,150.0,3734,490985.0
2023-11-04,7,560.0,3741,491545.0
2023-11-05,2,2000.0,3743,493545.0
2023-11-06,4,1000.0,3747,494545.0
2023-11-07,6,240.0,3753,494785.0
2023-11-08,15,300.0,3768,495085.0
2023-11-09,9,900.0,3777,495985.0
2023-11-10,5,400.0,3782,496385.0
2023-11-11,2,240.0,3784,496625.0
2023-11-12,6,540.0,3790,497165.0
2023-11-13,3,4500.0,3793,501665.0
2023-11-14,2,600.0,3795,502265.0
2023-11-15,4,120.0,3799,502385.0
2023-11-16,8,480.0,3807,502865.0
2023-11-17,6,1200.0,3813,504065.0
2023-11-18,3,540.0,3816,504605.0
2023-11-19,5,225.0,3821,504830.0
2023-11-20,10,400.0,3831,505230.0
2023-11-21,7,3500.0,3838,508730.0
2023-11-22,1,600.0,3839,509330.0
2023-11-23,3,210.0,3842,509540.0
2023-11-24,20,200.0,3862,509740.0
2023-11-25,4,1600.0,3866,511340.0
2023-11-26,2,1400.0,3868,512740.0
2023-11-27,3,450.0,3871,513190.0
2023-11-28,8,560.0,3879,513750.0
2023-11-29,1,800.0,3880,514550.0
2023-11-30,1,900.0,3881,515450.0
2023-12-01,5,6000.0,3886,521450.0
2023-12-01,8,6400.0,3894,527850.0
2023-12-02,10,1500.0,3904,529350.0
2023-12-03,3,150.0,3907,529500.0
2023-12-04,7,560.0,3914,530060.0
2023-12-05,2,2000.0,3916,532060.0
2023-12-06,4,1000.0,3920,533060.0
2023-12-07,6,240.0,3926,533300.0
2023-12-08,15,300.0,3941,533600.0
2023-12-09,9,900.0,3950,534500.0
2023-12-10,5,400.0,3955,534900.0
2023-12-11,2,240.0,3957,535140.0
2023-12-12,6,540.0,3963,535680.0
2023-12-13,3,4500.0,3966,540180.0
2023-12-14,2,600.0,3968,540780.0
2023-12-15,4,120.0,3972,540900.0
2023-12-16,8,480.0,3980,541380.0
2023-12-17,6,1200.0,3986,542580.0
2023-12-18,3,540.0,3989,543120.0
2023-12-19,5,225.0,3994,543345.0
2023-12-20,10,400.0,4004,543745.0
2023-12-21,7,3500.0,4011,547245.0
2023-12-22,1,600.0,4012,547845.0
2023-12-23,3,210.0,4015,548055.0
2023-12-24,20,200.0,4035,548255.0
2023-12-25,4,1600.0,4039,549855.0
2023-12-26,2,1400.0,4041,551255.0
2023-12-27,3,450.0,4044,551705.0
2023-12-28,8,560.0,4052,552265.0
2023-12-29,1,800.0,4053,553065.0
2023-12-30,1,900.0,4054,553965.0
2023-12-31,5,175.0,4059,554140.0
2024-01-01,5,6000.0,4064,560140.0
2024-01-01,8,6400.0,4072,566540.0
2024-01-01,10,1500.0,4082,568040.0
2024-01-01,3,150.0,4085,568190.0
2024-01-01,7,560.0,4092,568750.0
2024-01-02,4,800.0,4096,569550.0
2024-01-02,5,150.0,4101,569700.0
2024-01-02,3,360.0,4104,570060.0
2024-01-02,12,300.0,4116,570360.0
2024-01-02,4,1000.0,4120,571360.0
2024-01-03,6,240.0,4126,571600.0
2024-01-03,15,300.0,4141,571900.0
2024-01-03,8,1200.0,4149,573100.0
2024-01-03,3,360.0,4152,573460.0
2024-01-03,2,140.0,4154,573600.0
2024-01-04,7,560.0,4161,574160.0
2024-01-04,2,2000.0,4163,576160.0
2024-01-04,10,250.0,4173,576410.0
2024-01-04,5,900.0,4178,577310.0
2024-01-04,4,140.0,4182,577450.0
2024-01-05,3,900.0,4185,578350.0
2024-01-05,6,540.0,4191,578890.0
2024-01-05,2,1200.0,4193,580090.0
2024-01-05,6,240.0,4199,580330.0
2024-01-05,7,560.0,4206,580890.0
2024-01-05,2,2000.0,4208,582890.0
2024-01-06,4,1000.0,4212,583890.0
2024-01-07,6,240.0,4218,584130.0
2024-01-08,15,300.0,4233,584430.0
2024-01-09,9,900.0,4242,585330.0
2024-01-10,5,400.0,4247,585730.0
2024-01-11,2,240.0,4249,585970.0
2024-01-12,6,540.0,4255,586510.0
2024-01-13,3,4500.0,4258,591010.0
2024-01-14,2,600.0,4260,591610.0
2024-01-15,4,120.0,4264,591730.0
2024-01-16,8,480.0,4272,592210.0
2024-01-17,6,1200.0,4278,593410.0
2024-01-18,3,540.0,4281,593950.0
2024-01-19,5,225.0,4286,594175.0
2024-01-20,10,400.0,4296,594575.0
2024-01-21,7,3500.0,4303,598075.0
2024-01-22,1,600.0,4304,598675.0
2024-01-23,3,210.0,4307,598885.0
2024-01-24,20,200.0,4327,599085.0
2024-01-25,4,1600.0,4331,600685.0
2024-01-26,2,1400.0,4333,602085.0
2024-01-27,3,450.0,4336,602535.0
2024-01-28,8,560.0,4344,603095.0
2024-01-29,1,800.0,4345,603895.0
2024-01-30,1,900.0,4346,604795.0
2024-01-31,5,175.0,4351,604970.0
