Date,TotalSalesQuantity,TotalSalesAmount,RollingAverageSalesQuantity,RollingAverageSalesAmount
2023-12-15,4,120.0,3.7142857142857144,233.57142857142858
2023-12-19,5,225.0,3.7142857142857144,233.57142857142858
2023-12-23,3,210.0,3.7142857142857144,233.57142857142858
2023-12-27,3,450.0,3.7142857142857144,233.57142857142858
2023-12-31,5,175.0,4.0,237.14285714285714
2024-01-01,3,150.0,3.5714285714285716,224.28571428571428
2024-01-02,5,150.0,4.0,211.42857142857142
2024-01-03,8,380.0,4.571428571428571,248.57142857142858
2024-01-04,4,140.0,4.428571428571429,236.42857142857142
2024-01-05,6,240.0,4.857142857142857,240.71428571428572
2024-01-07,6,240.0,5.285714285714286,210.71428571428572
2024-01-11,2,240.0,4.857142857142857,220.0
2024-01-15,4,120.0,5.0,215.71428571428572
2024-01-19,5,225.0,5.0,226.42857142857142
2024-01-23,3,210.0,4.285714285714286,202.14285714285714
2024-01-27,3,450.0,4.142857142857143,246.42857142857142
2024-01-31,5,175.0,4.0,237.14285714285714
